City,Month,Avg_Price
Palermo,January,$721.00
Palermo,February,$669.00
Palermo,March,$897.00
Palermo,April,$542.00
Palermo,May,$838.00
Palermo,June,"$1,096.00"
Palermo,July,"$1,081.00"
Palermo,August,$786.00
Palermo,September,$657.00
Palermo,October,$843.00
Palermo,November,$722.00
Palermo,December,$939.00
Montevideo,January,$940.00
Montevideo,February,$955.00
Montevideo,March,$827.00
Montevideo,April,$730.00
Montevideo,May,$808.00
Montevideo,June,"$1,165.00"
Montevideo,July,"$1,211.00"
Montevideo,August,$891.00
Montevideo,September,$919.00
Montevideo,October,$856.00
Montevideo,November,$983.00
Montevideo,December,"$1,236.00"
Shanghai,January,"$1,041.00"
Shanghai,February,"$1,123.00"
Shanghai,March,"$1,056.00"
Shanghai,April,"$1,084.00"
Shanghai,May,"$1,179.00"
Shanghai,June,"$1,322.00"
Shanghai,July,"$1,273.00"
Shanghai,August,"$1,146.00"
Shanghai,September,"$1,083.00"
Shanghai,October,"$1,042.00"
Shanghai,November,"$1,074.00"
Shanghai,December,"$1,294.00"
Lima,January,$575.00
Lima,February,$616.00
Lima,March,$491.00
Lima,April,$452.00
Lima,May,$514.00
Lima,June,$631.00
Lima,July,$754.00
Lima,August,$612.00
Lima,September,$596.00
Lima,October,$594.00
Lima,November,$578.00
Lima,December,$778.00
Bangkok,January,$847.00
Bangkok,February,$973.00
Bangkok,March,$910.00
Bangkok,April,$831.00
Bangkok,May,"$1,023.00"
Bangkok,June,"$1,113.00"
Bangkok,July,$982.00
Bangkok,August,$838.00
Bangkok,September,$826.00
Bangkok,October,$847.00
Bangkok,November,$877.00
Bangkok,December,"$1,476.00"
Johannesburg,January,"$1,132.00"
Johannesburg,February,$854.00
Johannesburg,March,"$1,174.00"
Johannesburg,April,$875.00
Johannesburg,May,"$1,321.00"
Johannesburg,June,"$1,410.00"
Johannesburg,July,"$1,395.00"
Johannesburg,August,"$1,537.00"
Johannesburg,September,"$1,168.00"
Johannesburg,October,"$1,243.00"
Johannesburg,November,"$1,238.00"
Johannesburg,December,"$1,347.00"
Copenhagen,January,$532.00
Copenhagen,February,$459.00
Copenhagen,March,$732.00
Copenhagen,April,$448.00
Copenhagen,May,$517.00
Copenhagen,June,$851.00
Copenhagen,July,$725.00
Copenhagen,August,$532.00
Copenhagen,September,$520.00
Copenhagen,October,$581.00
Copenhagen,November,$539.00
Copenhagen,December,$636.00
Nairobi,January,$842.00
Nairobi,February,$935.00
Nairobi,March,$837.00
Nairobi,April,$834.00
Nairobi,May,$945.00
Nairobi,June,"$1,211.00"
Nairobi,July,"$1,362.00"
Nairobi,August,$977.00
Nairobi,September,$872.00
Nairobi,October,$877.00
Nairobi,November,$834.00
Nairobi,December,"$1,134.00"